559.55,759.27,563.04,765.51,"/F52",6.97,"4"
48.96,726.29,300.02,734.31,"/F52",8.97,"condimentum laoreet nam nisi parturient cum proin sed cras interdum."
48.96,715.28,300.02,723.30,"/F52",8.97,"Sodales dolor dis hac ridiculus cursus facilisi ullamcorper praesent"
48.96,704.28,300.02,712.29,"/F52",8.97,"eget. Vivamus donec et amet nibh netus mauris congue duis erat sed"
48.96,693.27,300.02,701.29,"/F52",8.97,"ante vehicula a molestie sem consectetuer. Laoreet vitae arcu congue"
48.96,682.26,300.02,690.28,"/F52",8.97,"et non ridiculus senectus felis. Quisque vitae ac aenean torquent."
48.96,671.26,300.02,679.27,"/F52",8.97,"Natoque dolor eget nisi sodales in nunc mauris dui est tristique auctor."
57.93,659.83,300.02,667.84,"/F52",8.97,"Iaculis felis ut primis duis condimentum. Sodales fusce mi ipsum"
48.96,648.82,55.94,656.84,"/F52",8.97,"ut"
60.47,648.82,75.91,656.84,"/F52",8.97,"cum"
80.45,648.82,131.99,656.84,"/F52",8.97,"condimentum."
136.53,648.82,163.42,656.84,"/F52",8.97,"Lacinia"
167.95,648.82,189.27,656.84,"/F52",8.97,"fames"
193.80,648.82,230.66,656.84,"/F52",8.97,"adipiscing"
235.19,648.82,265.30,656.84,"/F52",8.97,"faucibus"
269.83,648.82,282.79,656.84,"/F52",8.97,"nisl"
287.32,648.82,300.02,656.84,"/F52",8.97,"dis."
48.96,637.81,300.02,645.83,"/F52",8.97,"Lacinia proin ad sapien venenatis aliquam. Natoque neque. Aliquet"
48.96,626.81,300.02,634.82,"/F52",8.97,"dolor vel vestibulum magnis neque ad elit justo ad libero. Posuere"
48.96,615.80,300.02,623.82,"/F52",8.97,"augue lacus senectus arcu ultrices sed rhoncus ac penatibus iaculis"
48.96,604.79,300.02,612.81,"/F52",8.97,"per duis justo habitasse est curabitur pellentesque parturient. Quisque"
48.96,593.79,300.02,601.80,"/F52",8.97,"purus. Posuere purus nulla egestas habitant ad nostra duis. Feugiat"
48.96,582.78,300.02,590.80,"/F52",8.97,"curae nisi in nascetur mattis pede et varius. Egestas morbi id lacus."
48.96,571.78,300.02,579.79,"/F52",8.97,"Dapibus etiam nunc dis ligula ultricies nascetur pharetra consectetuer."
48.96,560.77,300.02,568.78,"/F52",8.97,"Cubilia lacus et fringilla class hymenaeos facilisis sollicitudin dis."
48.96,549.76,300.02,557.78,"/F52",8.97,"Gravida dolor. Cubilia morbi risus sapien cras erat duis parturient"
48.96,538.76,300.02,546.77,"/F52",8.97,"libero. Iaculis netus. Nonummy etiam. Egestas ipsum sit quis hac"
48.96,527.75,300.02,535.77,"/F52",8.97,"suscipit euismod posuere. Pretium felis leo orci enim diam et nam."
48.96,516.74,80.35,524.76,"/F52",8.97,"Aliquam"
85.78,516.74,109.44,524.76,"/F52",8.97,"metus."
114.88,516.74,143.58,524.76,"/F52",8.97,"Gravida"
149.01,516.74,170.43,524.76,"/F52",8.97,"metus"
175.86,516.74,191.30,524.76,"/F52",8.97,"felis"
196.73,516.74,218.42,524.76,"/F52",8.97,"varius"
223.85,516.74,273.17,524.76,"/F52",8.97,"condimentum"
278.60,516.74,300.02,524.76,"/F52",8.97,"morbi"
48.96,505.74,300.02,513.75,"/F52",8.97,"mattis habitasse vulputate nisl quis class. Pretium fusce velit massa"
